正在爬取第1页
关于暑假期间配送电系统检修停电的通知,2023-08-09,其他,总务处（后勤服务总公司）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0808/c791a227065/page.htm,,
科技企业技术需求信息发布（128-盐城盐都第三批次）,2023-08-09,其他,科技产业处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0809/c791a227071/page.htm,,
中国气象局生态系统碳源汇重点开放实验室2023年度开放课题申请指南,2023-08-08,学院动态,应用气象学院,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0807/c791a227035/page.htm,,
关于做好2023年创新型人才国际合作培养项目第二批人员申报工作的通知,2023-08-08,其他,研究生工作部、研究生院、学科建设处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0807/c791a227036/page.htm,,
中国气象局生态系统碳源汇重点开放实验室2023年度开放课题申请指南,2023-08-08,学院动态,应用气象学院,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0807/c791a227037/page.htm,,
关于组织申报西太平洋地球系统多圈层相互作用重大研究计划2023年度项目的通知,2023-08-08,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0807/c791a227040/page.htm,,
转发关于组织开展2023年江苏省大学生科普短视频创作大赛的通知,2023-08-07,其他,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0807/c791a227027/page.htm,,
关于开展2023年度南京专利奖申报的通知,2023-08-07,其他,科技产业处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0807/c791a227023/page.htm,,
关于高性能碳纤维相关项目申报工作的通知,2023-08-07,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0807/c791a227021/page.htm,,
关于做好某单位配套规划第二批科研项目申报工作的通知,2023-08-07,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0807/c791a227019/page.htm,,
